playlist_name,track_name,artists,album,status
Spot To AM,Song for Zula,Phosphorescent,Muchacho,Completed
Spot To AM,Wish You The Best,Lewis Capaldi,Broken By Desire To Be Heavenly Sent,Completed
Workout,Sirius,The Alan Parsons Project,Eye In The Sky (Expanded Edition),Completed
Workout,You and Me,Shubh,Leo,Completed
Workout,Untitled,KR$NA,Untitled,Completed
Workout,Ykwim,"Karan Aujla, KR$NA, Mehar Vaani",Ykwim,Completed
Workout,Sunn Na,Bali,Sunn Na,Completed
Workout,Azadi,"Dub Sharma, DIVINE",Gully Boy (Original Motion Picture Soundtrack),Completed
Workout,Baap Se,"Fotty Seven, KR$NA",Asli Independent,Completed
Workout,Galat Launda,"Fotty Seven, MojoJojo",Galat Launda,Completed
Workout,Baazigar,"DIVINE, Armani White",Gunehgar,Completed
Workout,Rihaayi,Paradox,Mtv Hustle 2.0,Completed
Workout,SAD!,XXXTENTACION,?,Completed
Workout,Still D.R.E.,"Dr. Dre, Snoop Dogg",2001,Completed
Workout,Candy Shop,"50 Cent, Olivia",The Massacre,Completed
Workout,In Da Club,50 Cent,Get Rich Or Die Tryin',Completed
Workout,The Last Dance,"Sushin Shyam, Hanumankind, Vinayak Sasikumar",Aavesham (Original Motion Picture Soundtrack),Completed
Workout,Same Beef,"Bohemia, Sidhu Moose Wala",Same Beef,Completed
Workout,,,,Completed
Workout,We Rollin,Shubh,We Rollin,Completed
Workout,Downers At Dusk,"Talha Anjum, Umair",Open Letter,Completed
Workout,Daku,"Chani Nattan, Inderpal Moga",Daku,Completed
Workout,,,,Completed
Workout,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin",Without Warning,Completed
Workout,Day 'N' Nite (Nightmare),Kid Cudi,Man On The Moon: The End Of Day (Int'l Version),Completed
Workout,Lightyears (with Young Thug),"Juice WRLD, Young Thug",Lightyears (with Young Thug),Completed
Workout,Bhaag Milkha Bhaag - Rock Version,"Shankar-Ehsaan-Loy, Siddharth Mahadevan",Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Completed
Workout,Praise The Lord (Da Shine) (feat. Skepta),"A$AP Rocky, Skepta",TESTING,Completed
Workout,"The Savarkar Rage - From ""Swatantrya Veer Savarkar""",SAMBATA,"The Savarkar Rage (From ""Swatantrya Veer Savarkar"")",Completed
Workout,Apna Time Aayega,"DIVINE, Ranveer Singh, Dub Sharma",Gully Boy (Original Motion Picture Soundtrack),Completed
PBMN,Dil Kay Isharay,Taha G,Dil Kay Isharay,Completed
PBMN,Rung,Shamoon Ismail,Juice,Completed
PBMN,The Less I Know The Better,Tame Impala,Currents,Completed
PBMN,Sober Up (feat. Rivers Cuomo),"AJR, Rivers Cuomo",The Click,Completed
PBMN,Marijuana,Shamoon Ismail,Cookie,Completed
PBMN,Somebody (2024),"Gotye, FISHER, Chris Lake, Kimbra, Sante Sansone",Somebody (2024),Completed
PBMN,All I Want,Kodaline,In A Perfect World (Expanded Edition),Completed
PBMN,The Night We Met,Lord Huron,Strange Trails,Completed
PBMN,weak when ur around,blackbear,dead,Completed
PBMN,Vertigo,Khalid,Suncity,Completed
PBMN,THATS WHAT I WANT,Lil Nas X,MONTERO,Completed
PBMN,Heat Waves,Glass Animals,Dreamland,Completed
PBMN,Sweater Weather,The Neighbourhood,I Love You.,Completed
PBMN,Ophelia,The Lumineers,Cleopatra,Completed
PBMN,Hot Rod,Dayglow,Fuzzybrain,Completed
PBMN,Gloom,Djo,DECIDE,Completed
PBMN,Pumped Up Kicks,Foster The People,Torches,Completed
PBMN,California Dreamin' - Single Version,The Mamas & The Papas,If You Can Believe Your Eyes & Ears,Completed
PBMN,Have You Ever Seen The Rain,Creedence Clearwater Revival,Pendulum (Expanded Edition),Completed
PBMN,Moonlight,XXXTENTACION,?,Completed
