playlist_name,track_name,artists,album,duration_s,video_id
Calm,Par Chanaa De,Shilpa Rao & Noori,Coke Studio Season 9: Sound of the Nation,666,wgN8a8nN79g
Calm,LOCHA-E-ULFAT,"BENNY DAYAL, SHANKAR-EHSAAN-LOY, AMITABH BHATTACHARYA",2 STATES,289,Eoj4kxD9Tnk
Calm,I Feel Good,"Vishal Dadlani, Shilpa Rao, Vishal-Shekhar",Anjaana Anjaani,318,sxSxOBQgs5Q
Calm,Eastside,"benny blanco, Halsey, Khalid",Eastside,174,74qn0eJSjpA
Calm,Wish You Were Here,Pink Floyd,Wish You Were Here,335,4K6cvc27_CE
Calm,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,282,BdEe5SpdIuo
Calm,Habibi,Asim Azhar,Habibi,188,QNNYvh9_Y1g
Calm,Sukoon (feat. Shae Gill),Hassan & Roshaan,Sukoon,256,UE7MN0duuc0
Calm,Duur Se (feat. Amna Riaz),Hassan & Roshaan,Day 5,245,qYUfchNsgcw
Calm,Intezaar (feat. Zahra Paracha),Hassan & Roshaan,Day 5,243,n743P2FYlcA
Calm,"Ishq (From ""Lost;Found"")","Faheem Abdullah, Rauhan Malik, Amir Ameer","Ishq (From ""Lost;Found"")",229,f419vqAt8PU
Calm,At My Worst,Pink Sweat$,The Prelude,171,RHUUy3acptk
Calm,Ishq Hai,"Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee",Mismatched: Season 3 (Soundtrack from the Netflix Series),313,TQqBjSAK52s
Calm,End of Beginning,Djo,DECIDE,160,Kf5pXDhx5Vc
Calm,Shaayad,Taba Chake,Bombay Dreams,208,_7NFYwMovRQ
Calm,Aao Chalein,Taba Chake,Bombay Dreams,186,5uBlLI1a_lA
Calm,Sang Rahiyo,"Jasleen Royal, Ujjwal Kashyap, Neeraj Rajawat",Sang Rahiyo,214,DkTRLHXMw8k
Calm,Teri Deewani,"Kailash Kher, Paresh Kamath, Naresh Kamath",Kailasa,324,3R-q79a7n98
Calm,Saiyyan,"Kailash Kher, Paresh Kamath, Naresh Kamath",Jhoomo Re,344,pqBKTLnowdM
Calm,Yun Hi Chala Chal,"Udit Narayan, Hariharan, Kailash Kher",Swades,447,vTBbi3qIC0s
Calm,Kahaani,When Chai Met Toast,Kahaani,216,cJVvG_KYN50
Calm,Joy of Little Things,When Chai Met Toast,Joy of Little Things,240,KpzDTHBiOtU
Calm,Firefly,When Chai Met Toast,Joy of Little Things,218,hpAzb6Kc5O4
Calm,Can I Call You Tonight?,Dayglow,Can I Call You Tonight?,279,n-IwmbARwBo
Calm,I Just Called To Say I Love You,Stevie Wonder,The Definitive Collection (Deluxe Edition),262,58RgLQ_0Ars
Calm,Paradise,Coldplay,Mylo Xyloto,279,Q0TEUMPIhk8
Calm,Something Just Like This,"The Chainsmokers, Coldplay",Something Just Like This,248,owTWCbq_nSk
Calm,Closer (feat. Halsey),The Chainsmokers,Collage,246,r7zTKRonHXM
Calm,Paris,The Chainsmokers,Memories...Do Not Open,222,Dfiw7EmRTC4
Calm,All We Know (feat. Phoebe Ryan),The Chainsmokers,Collage,195,Gr6g3-6VQoE
Calm,Hope (feat. Winona Oak),The Chainsmokers,Sick Boy,181,IDyQO0QuvKY
Calm,16,Baby Keem,The Melodic Blue,157,S1VvnaCAKJ8
Calm,Where's My Love,SYML,Where's My Love,202,Cn89FZ9Qsq4
Calm,"Sajdaa (From ""My Name Is Khan"")","Shankar Ehsaan Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma",Kajol: Bollywood Darling,366,AQ5qWopu_uU
Calm,O Maahi,Arijit Singh,Dunki,234,qnQCd_nZn_g
Calm,Challa,Rabbi,Jab Tak Hai Jaan,321,hhssZ5bDa8E
Calm,YE TUNE KYA KIYA,"JAVED BASHIR, PRITAM, & RAJAT ARORA",ONCE UPON AY TIME IN MUMBAI DOBAARA !,315,jcAn44985E0
Calm,"Khuda Jaane (From ""Bachna Ae Haseeno"")","Vishal and Sheykhar, KK, Shilpa Rao",Bachna Ae Haseeno,334,aG7MaqtWxT8
Calm,GUZARISH,"JAVED ALI, A.R. RAHMAN, & PRASOON JOSHI",GHAJINI,328,cK9h5PVzRpk
Calm,Khalasi | Coke Studio Bharat,"Aditya Gadhvi, Achint",Khalasi | Coke Studio Bharat,259,6c3mAtStIxo
Calm,Hua Main,"Raghav Chaitanya, Pritam",ANIMAL - HINDI,278,65-VQkyE72I
Calm,Satranga,Arijit Singh,ANIMAL - HINDI,272,YCwP7X42wfw
Calm,"Hone Do Jo Hota Hai (From ""Kho Gaye Hum Kahan"")","OAFF, Savera, Javed Akhtar, Lothika","Hone Do Jo Hota Hai (From ""Kho Gaye Hum Kahan"")",184,0J3JcHKtdJ8
Calm,Ordinary,Alex Warren,"You'll Be Alright, Kid",187,TR19QSL7WuQ
Calm,Kya Karein,Aditya Rikhari,Kya Karein,159,QNXOt4WhMaQ
Calm,Bad Habits,Ed Sheeran,Bad Habits,231,hJWSZDJb-W4
Calm,All of Me,John Legend,Love In The Future (Expanded Edition),270,sQtnhwU2R9Y
Calm,Larger Than Life,Backstreet Boys,Millennium,233,pjvQZzkeI_o
Calm,As It Was,Harry Styles,Harry's House,168,nujn6wbr-e8
Calm,Dusk Till Dawn (Radio Edit) (feat. Sia),ZAYN,Icarus Falls,239,j-0kLu3O7qU
